scenario,year,revenue,costs,net_income,margin_pct,medicare_outpatient_enhanced,additional_facility_payment,lost_inpatient_revenue,mih_cost,mih_revenue,ccn,hospital_name,state
REH_Conversion,3,,44676596.95675429,,0.0,,3312000.0,17629399.0,,,191315,HARDTNER MEDICAL CENTER,LA
REH_with_MIH,1,,43731977.525454134,,,,3312000.0,17629399.0,1620000.0,0.0,191315,HARDTNER MEDICAL CENTER,LA
REH_with_MIH,2,,44995336.851217754,,,,3312000.0,17629399.0,1620000.0,0.0,191315,HARDTNER MEDICAL CENTER,LA
REH_with_MIH,3,,46296596.95675429,,,,3312000.0,17629399.0,1620000.0,0.0,191315,HARDTNER MEDICAL CENTER,LA
CAH_Baseline,1,15813597.0,19240797.580000002,-3427200.580000002,-21.67249222299014,,,,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
CAH_Baseline,2,15813597.0,19818021.5074,-4004424.5073999986,-25.32266698967982,,,,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
CAH_Baseline,3,15813597.0,20412562.152622,-4598965.152621999,-29.082346999370223,,,,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_Conversion,1,,9962223.841551788,,0.0,,3312000.0,19492453.0,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_Conversion,2,,10261090.556798343,,0.0,,3312000.0,19492453.0,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_Conversion,3,,10568923.273502292,,0.0,,3312000.0,19492453.0,,,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_with_MIH,1,,11582223.841551788,,,,3312000.0,19492453.0,1620000.0,0.0,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_with_MIH,2,,11881090.556798343,,,,3312000.0,19492453.0,1620000.0,0.0,371301,PRAGUE COMMUNITY HOSPITAL,OK
REH_with_MIH,3,,12188923.273502292,,,,3312000.0,19492453.0,1620000.0,0.0,371301,PRAGUE COMMUNITY HOSPITAL,OK
CAH_Baseline,1,17727857.0,21139015.48,-3411158.4800000004,-19.24179826134654,,,,,,371309,PAWHUSKA HOSPITAL  INC.,OK
CAH_Baseline,2,17727857.0,21773185.944399998,-4045328.9443999976,-22.819052209186918,,,,,,371309,PAWHUSKA HOSPITAL  INC.,OK
CAH_Baseline,3,17727857.0,22426381.522732,-4698524.522732001,-26.503623775462543,,,,,,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_Conversion,1,,11523304.605268886,,0.0,,3312000.0,19186062.0,,,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_Conversion,2,,11869003.743426953,,0.0,,3312000.0,19186062.0,,,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_Conversion,3,,12225073.85572976,,0.0,,3312000.0,19186062.0,,,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_with_MIH,1,,13143304.605268886,,,,3312000.0,19186062.0,1620000.0,0.0,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_with_MIH,2,,13489003.743426953,,,,3312000.0,19186062.0,1620000.0,0.0,371309,PAWHUSKA HOSPITAL  INC.,OK
REH_with_MIH,3,,13845073.85572976,,,,3312000.0,19186062.0,1620000.0,0.0,371309,PAWHUSKA HOSPITAL  INC.,OK
CAH_Baseline,1,13016430.0,20060371.67,-7043941.670000002,-54.115772681142225,,,,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
CAH_Baseline,2,13016430.0,20662182.8201,-7645752.820099998,-58.73924586157647,,,,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
CAH_Baseline,3,13016430.0,21282048.304703,-8265618.304703001,-63.50142323742378,,,,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_Conversion,1,,17979138.75714254,,0.0,,3312000.0,4478158.0,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_Conversion,2,,18518512.919856813,,0.0,,3312000.0,4478158.0,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_Conversion,3,,19074068.30745252,,0.0,,3312000.0,4478158.0,,,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_with_MIH,1,,19599138.75714254,,,,3312000.0,4478158.0,1620000.0,0.0,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_with_MIH,2,,20138512.919856813,,,,3312000.0,4478158.0,1620000.0,0.0,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
REH_with_MIH,3,,20694068.30745252,,,,3312000.0,4478158.0,1620000.0,0.0,41307,CROSSRIDGE COMMUNITY HOSPITAL,AR
CAH_Baseline,1,8238526.0,18311560.42,-10073034.420000002,-122.2674349756255,,,,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
CAH_Baseline,2,8238526.0,18860907.2326,-10622381.2326,-128.93545802489425,,,,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
CAH_Baseline,3,8238526.0,19426734.449578,-11188208.449577998,-135.80352176564108,,,,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_Conversion,1,,14997227.392559897,,0.0,,3312000.0,2595215.0,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_Conversion,2,,15447144.214336693,,0.0,,3312000.0,2595215.0,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_Conversion,3,,15910558.540766794,,0.0,,3312000.0,2595215.0,,,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_with_MIH,1,,16617227.392559897,,,,3312000.0,2595215.0,1620000.0,0.0,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_with_MIH,2,,17067144.214336693,,,,3312000.0,2595215.0,1620000.0,0.0,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
REH_with_MIH,3,,17530558.540766794,,,,3312000.0,2595215.0,1620000.0,0.0,451309,MCCAMEY COUNTY HOSPITAL DISTRICT,TX
CAH_Baseline,1,11543194.0,18178005.47,-6634811.469999999,-57.47812494531409,,,,,,451314,MEMORIAL HOSPITAL,TX
CAH_Baseline,2,11543194.0,18723345.634099998,-7180151.634099998,-62.202468693673495,,,,,,451314,MEMORIAL HOSPITAL,TX
CAH_Baseline,3,11543194.0,19285046.003123,-7741852.003123,-67.06854275448373,,,,,,451314,MEMORIAL HOSPITAL,TX
REH_Conversion,1,,16719928.251731545,,0.0,,3312000.0,2129276.0,,,451314,MEMORIAL HOSPITAL,TX
REH_Conversion,2,,17221526.09928349,,0.0,,3312000.0,2129276.0,,,451314,MEMORIAL HOSPITAL,TX
REH_Conversion,3,,17738171.882261995,,0.0,,3312000.0,2129276.0,,,451314,MEMORIAL HOSPITAL,TX
REH_with_MIH,1,,18339928.251731545,,,,3312000.0,2129276.0,1620000.0,0.0,451314,MEMORIAL HOSPITAL,TX
REH_with_MIH,2,,18841526.09928349,,,,3312000.0,2129276.0,1620000.0,0.0,451314,MEMORIAL HOSPITAL,TX
REH_with_MIH,3,,19358171.882261995,,,,3312000.0,2129276.0,1620000.0,0.0,451314,MEMORIAL HOSPITAL,TX
CAH_Baseline,1,18466867.0,22921909.43,-4455042.43,-24.124516789989332,,,,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
CAH_Baseline,2,18466867.0,23609566.712899998,-5142699.712899998,-27.848252293689,,,,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
CAH_Baseline,3,18466867.0,24317853.714287,-5850986.714287002,-31.683699862499697,,,,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_Conversion,1,,18912760.04620679,,0.0,,3312000.0,10924953.0,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_Conversion,2,,19480142.84759299,,0.0,,3312000.0,10924953.0,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_Conversion,3,,20064547.13302078,,0.0,,3312000.0,10924953.0,,,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_with_MIH,1,,20532760.04620679,,,,3312000.0,10924953.0,1620000.0,0.0,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_with_MIH,2,,21100142.84759299,,,,3312000.0,10924953.0,1620000.0,0.0,451310,BALLINGER MEMORIAL HOSPITAL,TX
REH_with_MIH,3,,21684547.13302078,,,,3312000.0,10924953.0,1620000.0,0.0,451310,BALLINGER MEMORIAL HOSPITAL,TX
CAH_Baseline,1,16396169.0,20820973.11,-4424804.109999999,-26.986816920464772,,,,,,451351,LYNN COUNTY HOSPITAL,TX
CAH_Baseline,2,16396169.0,21445602.3033,-5049433.303300001,-30.796421428078723,,,,,,451351,LYNN COUNTY HOSPITAL,TX
CAH_Baseline,3,16396169.0,22088970.372399,-5692801.372398999,-34.72031407092107,,,,,,451351,LYNN COUNTY HOSPITAL,TX
REH_Conversion,1,,17160626.635424696,,0.0,,3312000.0,8912450.0,,,451351,LYNN COUNTY HOSPITAL,TX
REH_Conversion,2,,17675445.434487436,,0.0,,3312000.0,8912450.0,,,451351,LYNN COUNTY HOSPITAL,TX
REH_Conversion,3,,18205708.797522057,,0.0,,3312000.0,8912450.0,,,451351,LYNN COUNTY HOSPITAL,TX
REH_with_MIH,1,,18780626.635424696,,,,3312000.0,8912450.0,1620000.0,0.0,451351,LYNN COUNTY HOSPITAL,TX
REH_with_MIH,2,,19295445.434487436,,,,3312000.0,8912450.0,1620000.0,0.0,451351,LYNN COUNTY HOSPITAL,TX
REH_with_MIH,3,,19825708.797522057,,,,3312000.0,8912450.0,1620000.0,0.0,451351,LYNN COUNTY HOSPITAL,TX
CAH_Baseline,1,24014267.0,27608226.09,-3593959.09,-14.965932918127379,,,,,,191322,OCHSNER - ABROM KAPLAN MH,LA
CAH_Baseline,2,24014267.0,28436472.8727,-4422205.872699998,-18.414910905671192,,,,,,191322,OCHSNER - ABROM KAPLAN MH,LA
CAH_Baseline,3,24014267.0,29289567.058881,-5275300.058881,-21.967358232841335,,,,,,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_Conversion,1,,22061468.747794095,,0.0,,3312000.0,11700374.0,,,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_Conversion,2,,22723312.810227916,,0.0,,3312000.0,11700374.0,,,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_Conversion,3,,23405012.194534756,,0.0,,3312000.0,11700374.0,,,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_with_MIH,1,,23681468.747794095,,,,3312000.0,11700374.0,1620000.0,0.0,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_with_MIH,2,,24343312.810227916,,,,3312000.0,11700374.0,1620000.0,0.0,191322,OCHSNER - ABROM KAPLAN MH,LA
REH_with_MIH,3,,25025012.194534756,,,,3312000.0,11700374.0,1620000.0,0.0,191322,OCHSNER - ABROM KAPLAN MH,LA
CAH_Baseline,1,20472779.0,27415060.92,-6942281.920000002,-33.90981712839279,,,,,,451303,LIMESTONE MEDICAL CENTER,TX
CAH_Baseline,2,20472779.0,28237512.7476,-7764733.7476,-37.92711164224457,,,,,,451303,LIMESTONE MEDICAL CENTER,TX
CAH_Baseline,3,20472779.0,29084638.130028002,-8611859.130028002,-42.06492499151191,,,,,,451303,LIMESTONE MEDICAL CENTER,TX
REH_Conversion,1,,25587393.317231376,,0.0,,3312000.0,6265825.0,,,451303,LIMESTONE MEDICAL CENTER,TX
REH_Conversion,2,,26355015.116748314,,0.0,,3312000.0,6265825.0,,,451303,LIMESTONE MEDICAL CENTER,TX
REH_Conversion,3,,27145665.57025077,,0.0,,3312000.0,6265825.0,,,451303,LIMESTONE MEDICAL CENTER,TX
REH_with_MIH,1,,27207393.317231376,,,,3312000.0,6265825.0,1620000.0,0.0,451303,LIMESTONE MEDICAL CENTER,TX
REH_with_MIH,2,,27975015.116748314,,,,3312000.0,6265825.0,1620000.0,0.0,451303,LIMESTONE MEDICAL CENTER,TX
REH_with_MIH,3,,28765665.57025077,,,,3312000.0,6265825.0,1620000.0,0.0,451303,LIMESTONE MEDICAL CENTER,TX
CAH_Baseline,1,19479853.0,19020558.86,459294.1400000006,2.357790584970023,,,,,,41310,STONE COUNTY MEDICAL CENTER,AR
CAH_Baseline,2,19479853.0,19591175.6258,-111322.62579999864,-0.5714756974808723,,,,,,41310,STONE COUNTY MEDICAL CENTER,AR
CAH_Baseline,3,19479853.0,20178910.894574,-699057.8945740014,-3.5886199684053133,,,,,,41310,STONE COUNTY MEDICAL CENTER,AR
REH_Conversion,1,,16934767.455292385,,0.0,,3312000.0,9696541.0,,,41310,STONE COUNTY MEDICAL CENTER,AR
REH_Conversion,2,,17442810.478951156,,0.0,,3312000.0,9696541.0,,,41310,STONE COUNTY MEDICAL CENTER,AR
REH_Conversion,3,,17966094.79331969,,0.0,,3312000.0,9696541.0,,,41310,STONE COUNTY MEDICAL CENTER,AR
REH_with_MIH,1,,18554767.455292385,,,,3312000.0,9696541.0,1620000.0,0.0,41310,STONE COUNTY MEDICAL CENTER,AR
REH_with_MIH,2,,19062810.478951156,,,,3312000.0,9696541.0,1620000.0,0.0,41310,STONE COUNTY MEDICAL CENTER,AR
REH_with_MIH,3,,19586094.79331969,,,,3312000.0,9696541.0,1620000.0,0.0,41310,STONE COUNTY MEDICAL CENTER,AR
CAH_Baseline,1,11361499.0,13061684.41,-1700185.4100000001,-14.964446240764534,,,,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
CAH_Baseline,2,11361499.0,13453534.9423,-2092035.9422999993,-18.413379627987464,,,,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
CAH_Baseline,3,11361499.0,13857140.990569,-2495641.990568999,-21.965781016827084,,,,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_Conversion,1,,9306635.505170107,,0.0,,3312000.0,8581352.0,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_Conversion,2,,9585834.57032521,,0.0,,3312000.0,8581352.0,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_Conversion,3,,9873409.607434968,,0.0,,3312000.0,8581352.0,,,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_with_MIH,1,,10926635.505170107,,,,3312000.0,8581352.0,1620000.0,0.0,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_with_MIH,2,,11205834.57032521,,,,3312000.0,8581352.0,1620000.0,0.0,371300,ATOKA COUNTY MEDICAL CENTER,OK
REH_with_MIH,3,,11493409.607434968,,,,3312000.0,8581352.0,1620000.0,0.0,371300,ATOKA COUNTY MEDICAL CENTER,OK
CAH_Baseline,1,8438013.0,8828793.32,-390780.3200000003,-4.631188882975177,,,,,,451306,KIMBLE HOSPITAL,TX
CAH_Baseline,2,8438013.0,9093657.1196,-655644.1195999999,-7.770124549464429,,,,,,451306,KIMBLE HOSPITAL,TX
CAH_Baseline,3,8438013.0,9366466.833188,-928453.8331879992,-11.003228285948353,,,,,,451306,KIMBLE HOSPITAL,TX
REH_Conversion,1,,8533336.580131078,,0.0,,3312000.0,607884.0,,,451306,KIMBLE HOSPITAL,TX
REH_Conversion,2,,8789336.67753501,,0.0,,3312000.0,607884.0,,,451306,KIMBLE HOSPITAL,TX
REH_Conversion,3,,9053016.77786106,,0.0,,3312000.0,607884.0,,,451306,KIMBLE HOSPITAL,TX
REH_with_MIH,1,,10153336.580131078,,,,3312000.0,607884.0,1620000.0,0.0,451306,KIMBLE HOSPITAL,TX
REH_with_MIH,2,,10409336.67753501,,,,3312000.0,607884.0,1620000.0,0.0,451306,KIMBLE HOSPITAL,TX
REH_with_MIH,3,,10673016.77786106,,,,3312000.0,607884.0,1620000.0,0.0,451306,KIMBLE HOSPITAL,TX
CAH_Baseline,1,17399305.0,22927968.92,-5528663.920000002,-31.775199756542012,,,,,,451342,MITCHELL COUNTY HOSPITAL,TX
CAH_Baseline,2,17399305.0,23615807.9876,-6216502.987599999,-35.72845574923825,,,,,,451342,MITCHELL COUNTY HOSPITAL,TX
CAH_Baseline,3,17399305.0,24324282.227228,-6924977.227228001,-39.80030942171541,,,,,,451342,MITCHELL COUNTY HOSPITAL,TX
REH_Conversion,1,,21937513.21295857,,0.0,,3312000.0,1894424.0,,,451342,MITCHELL COUNTY HOSPITAL,TX
REH_Conversion,2,,22595638.60934733,,0.0,,3312000.0,1894424.0,,,451342,MITCHELL COUNTY HOSPITAL,TX
REH_Conversion,3,,23273507.76762775,,0.0,,3312000.0,1894424.0,,,451342,MITCHELL COUNTY HOSPITAL,TX
REH_with_MIH,1,,23557513.21295857,,,,3312000.0,1894424.0,1620000.0,0.0,451342,MITCHELL COUNTY HOSPITAL,TX
REH_with_MIH,2,,24215638.60934733,,,,3312000.0,1894424.0,1620000.0,0.0,451342,MITCHELL COUNTY HOSPITAL,TX
REH_with_MIH,3,,24893507.76762775,,,,3312000.0,1894424.0,1620000.0,0.0,451342,MITCHELL COUNTY HOSPITAL,TX
CAH_Baseline,1,20525215.0,26681873.96,-6156658.960000001,-29.995588158272646,,,,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
CAH_Baseline,2,20525215.0,27482330.178799998,-6957115.178799998,-33.895455803020816,,,,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
CAH_Baseline,3,20525215.0,28306800.084164,-7781585.084164001,-37.91231947711145,,,,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_Conversion,1,,21537625.577129655,,0.0,,3312000.0,12657277.0,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_Conversion,2,,22183754.34444354,,0.0,,3312000.0,12657277.0,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_Conversion,3,,22849266.97477685,,0.0,,3312000.0,12657277.0,,,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_with_MIH,1,,23157625.577129655,,,,3312000.0,12657277.0,1620000.0,0.0,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_with_MIH,2,,23803754.34444354,,,,3312000.0,12657277.0,1620000.0,0.0,41327,BRADLEY COUNTY MEDICAL CENTER,AR
REH_with_MIH,3,,24469266.97477685,,,,3312000.0,12657277.0,1620000.0,0.0,41327,BRADLEY COUNTY MEDICAL CENTER,AR
CAH_Baseline,1,23039082.0,22385327.84,653754.1600000001,2.8375877129132148,,,,,,191309,HOOD MEMORIAL HOSPITAL,LA
CAH_Baseline,2,23039082.0,23056887.6752,-17805.675200000405,-0.07728465569939116,,,,,,191309,HOOD MEMORIAL HOSPITAL,LA
CAH_Baseline,3,23039082.0,23748594.305456,-709512.3054560013,-3.079603195370377,,,,,,191309,HOOD MEMORIAL HOSPITAL,LA
REH_Conversion,1,,18115640.229045667,,0.0,,3312000.0,9598015.0,,,191309,HOOD MEMORIAL HOSPITAL,LA
REH_Conversion,2,,18659109.435917035,,0.0,,3312000.0,9598015.0,,,191309,HOOD MEMORIAL HOSPITAL,LA
REH_Conversion,3,,19218882.718994547,,0.0,,3312000.0,9598015.0,,,191309,HOOD MEMORIAL HOSPITAL,LA
REH_with_MIH,1,,19735640.229045667,,,,3312000.0,9598015.0,1620000.0,0.0,191309,HOOD MEMORIAL HOSPITAL,LA
REH_with_MIH,2,,20279109.435917035,,,,3312000.0,9598015.0,1620000.0,0.0,191309,HOOD MEMORIAL HOSPITAL,LA
REH_with_MIH,3,,20838882.718994547,,,,3312000.0,9598015.0,1620000.0,0.0,191309,HOOD MEMORIAL HOSPITAL,LA
CAH_Baseline,1,42355967.0,58057708.21,-15701741.21,-37.07090717584137,,,,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
CAH_Baseline,2,42355967.0,59799439.4563,-17443472.456299998,-41.1830343911166,,,,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
CAH_Baseline,3,42355967.0,61593422.639989,-19237455.639989004,-45.41852542285011,,,,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_Conversion,1,,27629213.005146366,,0.0,,3312000.0,36326268.0,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_Conversion,2,,28458089.395300753,,0.0,,3312000.0,36326268.0,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_Conversion,3,,29311832.077159777,,0.0,,3312000.0,36326268.0,,,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_with_MIH,1,,29249213.005146366,,,,3312000.0,36326268.0,1620000.0,0.0,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_with_MIH,2,,30078089.395300753,,,,3312000.0,36326268.0,1620000.0,0.0,371316,STROUD REGIONAL MEDICAL CENTER,OK
REH_with_MIH,3,,30931832.077159777,,,,3312000.0,36326268.0,1620000.0,0.0,371316,STROUD REGIONAL MEDICAL CENTER,OK
CAH_Baseline,1,26365669.0,49717478.910000004,-23351809.910000004,-88.56900202304749,,,,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
CAH_Baseline,2,26365669.0,51209003.2773,-24843334.2773,-94.2260720837389,,,,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
CAH_Baseline,3,26365669.0,52745273.375619,-26379604.375619,-100.05285424625107,,,,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_Conversion,1,,24522019.430537004,,0.0,,3312000.0,21298523.0,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_Conversion,2,,25257680.01345311,,0.0,,3312000.0,21298523.0,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_Conversion,3,,26015410.413856708,,0.0,,3312000.0,21298523.0,,,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_with_MIH,1,,26142019.430537004,,,,3312000.0,21298523.0,1620000.0,0.0,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_with_MIH,2,,26877680.01345311,,,,3312000.0,21298523.0,1620000.0,0.0,371318,FAIRFAX COMMUNITY HOSPITAL,OK
REH_with_MIH,3,,27635410.413856708,,,,3312000.0,21298523.0,1620000.0,0.0,371318,FAIRFAX COMMUNITY HOSPITAL,OK
CAH_Baseline,1,18443688.0,27074067.060000002,-8630379.060000002,-46.793130853221996,,,,,,451363,JACKSON COUNTY HOSPITAL,TX
CAH_Baseline,2,18443688.0,27886289.071799997,-9442601.071799997,-51.19692477881862,,,,,,451363,JACKSON COUNTY HOSPITAL,TX
CAH_Baseline,3,18443688.0,28722877.743954,-10279189.743954,-55.732832522183195,,,,,,451363,JACKSON COUNTY HOSPITAL,TX
REH_Conversion,1,,25736902.39866078,,0.0,,3312000.0,2176876.0,,,451363,JACKSON COUNTY HOSPITAL,TX
REH_Conversion,2,,26509009.4706206,,0.0,,3312000.0,2176876.0,,,451363,JACKSON COUNTY HOSPITAL,TX
REH_Conversion,3,,27304279.754739217,,0.0,,3312000.0,2176876.0,,,451363,JACKSON COUNTY HOSPITAL,TX
REH_with_MIH,1,,27356902.39866078,,,,3312000.0,2176876.0,1620000.0,0.0,451363,JACKSON COUNTY HOSPITAL,TX
REH_with_MIH,2,,28129009.4706206,,,,3312000.0,2176876.0,1620000.0,0.0,451363,JACKSON COUNTY HOSPITAL,TX
REH_with_MIH,3,,28924279.754739217,,,,3312000.0,2176876.0,1620000.0,0.0,451363,JACKSON COUNTY HOSPITAL,TX
CAH_Baseline,1,40358392.0,52654894.71,-12296502.71,-30.468267194589917,,,,,,451392,HAMILTON GENERAL HOSPITAL,TX
CAH_Baseline,2,40358392.0,54234541.5513,-13876149.551299997,-34.3823152104276,,,,,,451392,HAMILTON GENERAL HOSPITAL,TX
CAH_Baseline,3,40358392.0,55861577.797839,-15503185.797839,-38.41378466674044,,,,,,451392,HAMILTON GENERAL HOSPITAL,TX
REH_Conversion,1,,48964658.82200511,,0.0,,3312000.0,11938173.0,,,451392,HAMILTON GENERAL HOSPITAL,TX
REH_Conversion,2,,50433598.58666526,,0.0,,3312000.0,11938173.0,,,451392,HAMILTON GENERAL HOSPITAL,TX
REH_Conversion,3,,51946606.54426522,,0.0,,3312000.0,11938173.0,,,451392,HAMILTON GENERAL HOSPITAL,TX
REH_with_MIH,1,,50584658.82200511,,,,3312000.0,11938173.0,1620000.0,0.0,451392,HAMILTON GENERAL HOSPITAL,TX
REH_with_MIH,2,,52053598.58666526,,,,3312000.0,11938173.0,1620000.0,0.0,451392,HAMILTON GENERAL HOSPITAL,TX
REH_with_MIH,3,,53566606.54426522,,,,3312000.0,11938173.0,1620000.0,0.0,451392,HAMILTON GENERAL HOSPITAL,TX
CAH_Baseline,1,50123557.0,62885823.940000005,-12762266.940000005,-25.46161466553542,,,,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
CAH_Baseline,2,50123557.0,64772398.658199996,-14648841.658199996,-29.225463105501465,,,,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
CAH_Baseline,3,50123557.0,66715570.617946,-16592013.617945999,-33.10222699866651,,,,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_Conversion,1,,35879140.80545973,,0.0,,3312000.0,36997857.0,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_Conversion,2,,36955515.029623516,,0.0,,3312000.0,36997857.0,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_Conversion,3,,38064180.480512224,,0.0,,3312000.0,36997857.0,,,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_with_MIH,1,,37499140.80545973,,,,3312000.0,36997857.0,1620000.0,0.0,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_with_MIH,2,,38575515.029623516,,,,3312000.0,36997857.0,1620000.0,0.0,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
REH_with_MIH,3,,39684180.480512224,,,,3312000.0,36997857.0,1620000.0,0.0,371314,PHYSICIANS HOSPITAL AT ANADARKO,OK
CAH_Baseline,1,7873546.0,18225462.72,-10351916.719999999,-131.47718600996296,,,,,,451301,REAGAN MEMORIAL HOSPITAL,TX
